marca_value,marca_text,cc_value,cc_text,version_value,version_text
6,AJP,125,125,15060,PR3 Enduro 125 (2008-2015)
6,AJP,125,125,15061,PR3 Enduro Pro 125 (2013-2015)
6,AJP,125,125,15063,PR3 Supermotard 125 (2008-2012)
6,AJP,125,125,15064,PR3 Supermoto 125 (2013-2015)
6,AJP,125,125,15065,PR4 Enduro 125 (2004-2015)
6,AJP,125,125,15068,PR4 Supermotard 125 (2004-2009)
6,AJP,200,200,15075,PR3 Enduro 200 (2004-2004)
6,AJP,200,200,15074,PR3 MX 200 (2009-2011)
6,AJP,200,200,15076,PR3 Supermotard 200 (2008-2012)
6,AJP,200,200,15077,PR4 Enduro 200 (2004-2004)
6,AJP,250,250,15734,PR 5 Enduro 250 (2009-2015)
6,AJP,250,250,15735,PR 5 Supermotard 250 (2009-2015)
6,AJP,600,600,15047,PR7 (2021) 600 (2021-2021)
6,AJP,650,650,15787,PR7 Adventure (2017) 650 (2017-2017)
8,Aprilia,50,50,3337,AF1 50 (1984-1994)
8,Aprilia,50,50,4744,AF1 AE 50 (1986-1989)
8,Aprilia,50,50,2656,AF1 Europa 50 (1990-1992)
8,Aprilia,50,50,2657,AF1 Futura 50 (1990-1992)
8,Aprilia,50,50,1896,Classic 50 (1992-1999)
8,Aprilia,50,50,2658,ET 50 (1984-1989)
8,Aprilia,50,50,4746,ET AE 50 (1987-1987)
8,Aprilia,50,50,14179,ETX 50 (1986-1987)
8,Aprilia,50,50,3100,MX 50 (2003-2005)
8,Aprilia,50,50,3339,Pegaso 50 (1992-1997)
8,Aprilia,50,50,1902,Red Rose 50 (1988-1992)
8,Aprilia,50,50,4751,Red Rose AE 50 (1988-1992)
8,Aprilia,50,50,14032,RS 2T LC Euro4 50 (2018-2020)
8,Aprilia,50,50,45,RS 50 (2000-2020)
8,Aprilia,50,50,1903,RS Extrema 50 (1993-2005)
8,Aprilia,50,50,1905,RS Tuono 50 (2001-2007)
8,Aprilia,50,50,944,RS4 50 (2011-2019)
8,Aprilia,50,50,13733,RX (PV00/PVA00) 50 (2006-2017)
8,Aprilia,50,50,1906,RX 50 (1989-2006)
8,Aprilia,50,50,4752,RX AE 50 (1989-1990)
8,Aprilia,50,50,15984,Rx Euro4 50 (2018-2020)
8,Aprilia,50,50,13929,Rx Factory Euro4 50 (2018-2020)
8,Aprilia,50,50,13932,SX 2T LC Euro4 50 (2018-2020)
8,Aprilia,50,50,1911,SX 50 (2006-2016)
8,Aprilia,50,50,13931,SX Factory 2T LC Euro4 50 (2018-2020)
8,Aprilia,50,50,3342,Tuareg 50 (1985-1989)
8,Aprilia,50,50,4763,Tuareg AE 50 (1985-1989)
8,Aprilia,50,50,4764,Tuareg Rally AE 50 (1990-1992)
8,Aprilia,50,50,1913,Tuareg Wind 50 (1986-1989)
8,Aprilia,50,50,4765,Tuareg Wind AE 50 (1998-2000)
8,Aprilia,50,50,14459,Tuono 50 (2003-2007)
8,Aprilia,125,125,15639,AF1 125 (1987-1987)
8,Aprilia,125,125,949,AF1 Europa 125 (1990-1991)
8,Aprilia,125,125,950,AF1 Futura 125 (1990-1991)
8,Aprilia,125,125,951,AF1 Replica 125 (1989-1991)
8,Aprilia,125,125,952,AF1 Sintesi 125 (1988-1991)
8,Aprilia,125,125,15637,AF1 Sport 125 (1991-1991)
8,Aprilia,125,125,3344,AS R 125 (1985-1986)
8,Aprilia,125,125,954,Classic 125 (1995-2003)
8,Aprilia,125,125,3102,ETX 125 (1984-2001)
8,Aprilia,125,125,1914,MX SM (11K) 125 (2004-2006)
8,Aprilia,125,125,2663,MX SM (25K) 125 (2004-2007)
8,Aprilia,125,125,2664,Pegaso / Kat 125 (1989-1996)
8,Aprilia,125,125,960,Red Rose 125 (1987-1994)
8,Aprilia,125,125,139,RS 125 (1992-2015)
8,Aprilia,125,125,15573,RS Euro5 125 (2021-2024)
8,Aprilia,125,125,15574,RS GP Replica Euro5 125 (2021-2024)
8,Aprilia,125,125,15986,RS IE LC Euro4 125 (2017-2020)
8,Aprilia,125,125,14030,RS Replica GP IE LC Euro4 125 (2017-2020)
8,Aprilia,125,125,964,RS4 125 (2011-2016)
8,Aprilia,125,125,14353,RS4 ABS 125 (2017-2019)
8,Aprilia,125,125,15098,RS4 Replica 125 (2017-2019)
8,Aprilia,125,125,1915,RX (GF/HT/MT) 125 (1989-2000)
8,Aprilia,125,125,13734,RX 2T (RV00) 125 (2008-2013)
8,Aprilia,125,125,14357,RX IE 4T LC Euro4 125 (2018-2020)
8,Aprilia,125,125,15395,RX IE 4T LC Euro5 125 (2021-2024)
8,Aprilia,125,125,4770,ST / STX 125 (1982-1985)
8,Aprilia,125,125,1917,SX 2T (RV000) 125 (2008-2013)
8,Aprilia,125,125,14355,SX IE 4T LC Euro4 125 (2018-2020)
8,Aprilia,125,125,15396,SX IE 4T LC Euro5 125 (2021-2024)
8,Aprilia,125,125,14039,SX4 125 (2018-2021)
8,Aprilia,125,125,971,Tuareg 125 (1986-1990)
8,Aprilia,125,125,972,Tuareg Rally 125 (1986-1994)
8,Aprilia,125,125,973,Tuareg Wind 125 (1988-1994)
8,Aprilia,125,125,963,Tuono (2003-2009) 125 (2003-2009)
8,Aprilia,125,125,14028,Tuono ABS 125 (2017-2018)
8,Aprilia,125,125,14354,Tuono Euro4 125 (2017-2020)
8,Aprilia,125,125,15816,Tuono Euro5 125 (2021-2024)
8,Aprilia,250,250,1919,RS 250 (1995-2003)
8,Aprilia,300,300,15441,Atlantic S IE 4T LC Euro3 300 (2010-2014)
8,Aprilia,350,350,9154,ETX 350 (1986-1992)
8,Aprilia,350,350,2665,ETX Tuareg 350 (1986-1992)
8,Aprilia,350,350,2667,Tuareg Wind 350 (1987-1992)
8,Aprilia,450,450,2668,MXV 450 (2008-2014)
8,Aprilia,450,450,986,RXV 450 (2005-2014)
8,Aprilia,450,450,987,SXV 450 (2005-2014)
8,Aprilia,450,450,4774,SXV VDB Replica 450 (2008-2008)
8,Aprilia,550,550,991,RXV 550 (2005-2014)
8,Aprilia,550,550,992,SXV 550 (2005-2014)
8,Aprilia,550,550,4775,SXV VDB Replica 550 (2008-2008)
8,Aprilia,600,600,2669,ETX Tuareg 600 (1986-1992)
8,Aprilia,600,600,994,Pegaso 600 (1990-1994)
8,Aprilia,600,600,995,Tuareg Wind 600 (1987-1993)
8,Aprilia,650,650,996,Pegaso / Cube / IE 650 (1992-2009)
8,Aprilia,650,650,1000,Pegaso Factory 650 (2007-2011)
8,Aprilia,650,650,1001,Pegaso Strada 650 (2005-2011)
8,Aprilia,650,650,1002,Pegaso Trail 650 (2005-2008)
8,Aprilia,650,650,999,"Stark / Moto 6,5 650 (1995-2000)"
8,Aprilia,660,660,14870,RS Euro4 660 (2020-2020)
8,Aprilia,660,660,16256,RS Euro5 660 (2021-2024)
8,Aprilia,660,660,15389,Tuareg Euro5 660 (2021-2024)
8,Aprilia,660,660,14888,Tuono Euro4 660 (2020-2020)
8,Aprilia,660,660,16254,Tuono Euro5 660 (2021-2024)
8,Aprilia,660,660,16255,Tuono Factory Euro5 660 (2021-2024)
8,Aprilia,750,750,1920,Dorsoduro 750 (2008-2019)
